id,City,Prop_2001,Prop_2003,Prop_2005,Prop_2007,Prop_2009,Prop_2011,Prop_2013,Raw_2001,Raw_2003,Raw_2005,Raw_2007,Raw_2009,Raw_2011,Raw_2013,latitude,longitude,name,desc,color,source,precision,Off_2007,Off_2008,Off_2009,Off_2010,Off_2011,Off_2012,Off_2013
1,Chicago,23,22.6,15.6,15.6,16.1,15.9,15.2,665,651,446,443,459,431,414,41.8842506,-87.6324463,Chicago,"Chicago, IL",,Bing Maps,city/town,4.84,4.72,4.59,4.42,4.47,4.41,4.45
2,Indianapolis,14,13.4,13.5,14.3,12.3,11.5,15.2,112,107,108,114,100,96,129,39.7669106,-86.1499634,Indianapolis,"Indianapolis, IN",,Bing Maps,city/town,2.01,1.97,1.99,2,1.94,1.9,1.81
3,Columbus,11.4,15,14,10.7,10.9,11,11.5,81,109,102,79,83,87,88,39.9619904,-83.0027466,Columbus,"Columbus, OH",,Bing Maps,city/town,2.47,2.43,2.47,2.35,2.29,2.29,2.28
4,Detroit,41.3,39.4,39.3,45.8,40.2,48.2,45.2,395,366,354,394,365,344,316,42.3316803,-83.0479965,Detroit,"Detroit, MI",,Bing Maps,city/town,3.53,3.35,3.23,3.21,3.87,3.63,3.37
5,Milwaukee,21.1,18.3,20.6,18.3,11.9,14.2,17.3,127,109,121,105,72,85,104,43.0418091,-87.9068375,Milwaukee,"Milwaukee, WI",,Bing Maps,city/town,3.38,3.35,3.18,3.2,3.12,3.18,3.1
6,Kansas City,23.2,18.4,28.1,25.5,20.6,23.4,21.3,103,82,126,115,100,108,99,39.102951,-94.5830765,Kansas City,"Kansas City, MO",,Bing Maps,city/town,3.15,2.93,2.87,2.91,3.01,2.74,2.94
7,Omaha,6.4,8.7,7.5,9.7,6.8,10.4,9.9,25,35,31,42,30,43,42,41.2606888,-95.9405899,Omaha,"Omaha, NE",,Bing Maps,city/town,1.75,1.71,1.74,1.7,1.89,1.9,1.8
8,Cleveland,16.1,15.6,23.8,20.5,20,18.6,14.1,77,73,109,90,86,74,55,41.5047493,-81.6907196,Cleveland,"Cleveland, OH",,Bing Maps,city/town,3.76,3.72,3.83,3.66,3.65,3.76,3.79
9,Minneapolis,11.1,12.1,12.5,12.7,4.7,8.3,9.1,43,46,47,47,18,32,36,44.9790306,-93.2649307,Minneapolis,"Minneapolis, MN",,Bing Maps,city/town,2.28,2.36,2.32,2.28,2.21,2.18,2.13
10,Wichita,4.9,5.1,8.1,11.4,6.8,6.5,3.9,17,18,29,41,25,25,15,37.6869812,-97.3355789,Wichita,"Wichita, KS",,Bing Maps,city/town,1.8,1.73,1.75,1.67,1.68,1.66,1.65
11,St. Louis,42.2,21.5,37.9,39.6,40.3,35.3,37.7,148,73,131,138,143,113,120,38.6277504,-90.1995621,St. Louis,"St Louis, MO",,Bing Maps,city/town,3.88,3.94,3.96,3.84,4.25,4.15,4.04
12,Cincinnati,16.6,21.9,25.1,19,16.5,20.5,23.6,55,71,79,63,55,61,70,39.1071281,-84.5041275,Cincinnati,"Cincinnati, OH",,Bing Maps,city/town,3.33,3.26,3.34,3.28,3.49,3.35,3.24
13,St. Paul,3.1,7,8.6,5.2,4.6,2.8,4.8,9,20,24,14,13,8,14,44.943821,-93.0933228,St. Paul,"St Paul, MN",,Bing Maps,city/town,2.22,2.17,2.19,2.11,2.07,2.05,1.99
14,Toledo,5.7,6.8,9.2,4.4,11.3,10.4,9.9,18,21,28,13,33,30,28,41.6538086,-83.5362625,Toledo,"Toledo, OH",,Bing Maps,city/town,2.26,2.01,2.08,1.79,1.44,1.99,1.88
15,Lincoln,2.7,2.1,1.7,2.5,1.6,1.5,1.9,6,5,4,6,4,4,5,40.8136215,-96.7077408,Lincoln,"Lincoln, NE",,Bing Maps,city/town,1.27,1.25,1.25,1.25,1.25,1.21,1.2
